Drug name,Street Name,Street Name Code,keyname,keyname_id
Oxycodone,30s,oxy-1,,
Oxycodone,40s,oxy-2,,
Oxycodone,Oxy,oxy-3,,
Oxycodone,Beans,oxy-4,,
Oxycodone,Blues,oxy-5,,
Oxycodone,whites,oxy-6,,
Oxycodone,O.C,oxy-7,,
PCP,Ace,PC-0,,
PCP,Angel Dust,PC-1,,
PCP,Purple Rain,PC-2,,
PCP,Red Devil,PC-3,,
PCP,Rocket Fuel,PC-4,,
PCP,Zombie,PC-5,,
PCP,Zoom ,PC-6,,
PCP,Space,PC-7,,
PCP,Yellow Fever,PC-8,,
PCP,Venom,PC-9,,
PCP,Monkey Dust,PC-10,,
PCP,water,PC-11,,
Percocet,512s,Per-1,,
Percocet,kickers,Per-2,,
Percocet,Hillbilly Heroin ,Per-3,,
Percocet,M-30s,Per-4,,
Percocet,Percs,Per-5,,
Percocet,Rims,Per-6,,
Percocet,Tires,Per-7,,
Percocet,Wheels,Per-8,,
Peyote,Britton,Pey-1,,
Peyote,Half Moon,Pey-2,,
Peyote,Hikori,Pey-3,,
Peyote,Hikuli,Pey-4,,
Peyote,Hyatari,Pey-5,,
Peyote,Nubs,Pey-6,,
Peyote,Seni,Pey-7,,
Peyote,Tops,Pey-8,,
Peyote,Black Button ,Pey-9,,
Promethazine With Codeine,Act,Pr-0,,
Promethazine With Codeine,Drank,Pr-1,,
Promethazine With Codeine,Lean,Pr-2,,
Promethazine With Codeine,Purple Drank,Pr-4,,
Promethazine With Codeine,Sizurup,Pr-5,,
Promethazine With Codeine,Sizzurp,Pr-6,,
Promethazine With Codeine,Syrup,Pr-7,,
Ritalin,Kibbles and Bits,Ri-0,,
Synthetic Cannaboids,4-20,Can-0,,
Synthetic Cannaboids,Abyss,Can-1,,
Synthetic Cannaboids,Ace of Spades,Can-2,,
Synthetic Cannaboids,AK-47,Can-3,,
Synthetic Cannaboids,Buzz Haze,Can-4,,
Synthetic Cannaboids,Devil's Venom,Can-5,,
Synthetic Cannaboids,Dragon Eye,Can-6,,
Synthetic Cannaboids,Earth Blend,Can-7,,
Synthetic Cannaboids,Pineapple Express,Can-8,,
Synthetic Cannaboids,Krazy Kandy,Can-9,,
Synthetic Cathinones,Bloom,Sy-Ca-1,,
Synthetic Cathinones,Vanilla Sky,Sy-Ca-2,,
Synthetic Cathinones,Ocean Burst,Sy-Ca-3,,
Synthetic Cathinones,Bath salts,Sy-Ca-5,,
Synthetic Cathinones,Pure Ivory,Sy-Ca-6,,
Synthetic Cathinones,Red Dove,Sy-Ca-7,,
Synthetic Cathinones,Blue Silk,Sy-Ca-8,,
Synthetic Cathinones,Flakka,Sy-Ca-9,,
Synthetic Cathinones,White Knight,Sy-Ca-10,,
Xanax,Zanbars,Xa-1,,
Xanax,Handle Bars,Xa-2,,
Xanax,School Bus,Xa-4,,
Xanax,Xanies,Xa-5,,
Xanax,Z-bars,Xa-6,,
Xanax,Zannies,Xa-7,,
,drug,Drug -1,,
,pharmacy,Phar -1,,
,lsdtrip,lsdtrip-1,,
,acid,acid-1,,
,Psychedelic,psych-1,,
,anxiety,anxiety-1,,
,depression,depression-1,,
